Designator,Footprint,Quantity,Value,LCSC Part #
"C0, C1, C10, C11, C2, C3, C5, C6, C7, C8",0402,10,0.1uF,
"C12, C13, C4, C9",0402,4,1uF,
C14,0603,1,2.2uF,
C15,0603,1,10uF,
"C16, C17",0402,2,15pF,
C18,0402,1,100nF,
"C19, C20",0603,2,4.7uF,
"D1, D5",D_SMA,2,1N5819WS,
"D2, D3, D4",0603,3,Green,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Motor 1,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Motor 2,
J4,SEEED_110990030,1,Grove Connector for Soil Moisture Sensor,
J5,SEEED_110990030,1,Grove Connector for OLED Display,
"J6, J7",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x14,
J8,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JST PH-2Pin,
J9,"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",1,BME280 Terminals,
Q1,SOT-23,1,AO3401A,
"R1, R2",0402,2,27R,
R10,0402,1,2k,
R11,0402,1,470,
"R12, R5, R9",0402,3,1k,
"R13, R8",0402,2,10k,
R14,0402,1,330,
R15,0402,1,500,
"R3, R4",0402,2,0.2,
"R6, R7",0402,2,5.1K,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,
U2,SOT-23-5,1,AP2112K-3.3,
U3,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,1,DRV8833PWP,
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVSS,
U5,SOT-23-5,1,MCP73831-2-OT,
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,
